对于常量，特征值为常量值，对于函数，特征值为参数个数，对于数组，特征值为数组长度
序号		名称		行数		种类		类型		特征值		地址		寄存器		
132		$t195		362		简单		int		-1		132		$t0		
133		$t196		362		简单		int		-1		133		$t1		
134		$t197		362		简单		int		-1		134		$t0		
135		$t198		362		简单		int		-1		135		$t0		
136		$t199		362		简单		int		-1		136		$t0		
137		$t200		362		简单		int		-1		137		$t0		
138		$t201		362		简单		int		-1		138		$t0		
该函数表打印完毕
0		x		369		参数		int		-1		0		$t3		
1		y		369		参数		int		-1		1		$t2		
2		z		373		简单		int		-1		2		$t1		
3		$t202		375		简单		int		-1		3		$t0		
4		$t203		375		简单		int		-1		4		$t0		
该函数表打印完毕
0		a		382		参数		int		-1		0		$t2		
1		b		382		参数		int		-1		1		$t1		
2		$t204		389		简单		int		-1		2		$t0		
3		$t205		393		简单		int		-1		3		$t0		
4		$t206		393		简单		int		-1		4		$t0		
该函数表打印完毕
0		a		398		简单		int		-1		0		$t1		
1		b		399		简单		int		-1		1		$t0		
2		result		400		简单		int		-1		2		$t0		
3		$t207		403		简单		int		-1		3		$t0		
该函数表打印完毕
0		m		407		参数		int		-1		0		$t4		
1		n		407		参数		int		-1		1		$t3		
2		$t208		413		简单		int		-1		2		$t0		
3		$t209		413		简单		int		-1		3		$t2		
4		$t210		413		简单		int		-1		4		$t1		
5		$t211		413		简单		int		-1		5		$t0		
6		$t212		413		简单		int		-1		6		$t0		
该函数表打印完毕
0		m		417		简单		int		-1		0		$t1		
1		n		417		简单		int		-1		1		$t0		
2		$t213		420		简单		int		-1		2		$t0		
该函数表打印完毕
0		t1		424		简单		int		-1		0		$t4		
1		t2		424		简单		int		-1		1		$t3		
2		t3		424		简单		int		-1		2		$t2		
3		t4		424		简单		int		-1		3		$t1		
4		t5		424		简单		int		-1		4		$t0		
5		$t214		430		简单		int		-1		5		$t0		
该函数表打印完毕
0		k		435		数组		int		1024		0		无		
1		i		437		简单		int		-1		1024		$t6		
2		j		437		简单		int		-1		1025		$t4		
3		n		437		简单		int		-1		1026		$t3		
4		s		437		简单		int		-1		1027		$t2		
5		x1		437		简单		int		-1		1028		$t1		
6		m		439		简单		int		-1		1029		$t5		
7		k2		439		简单		int		-1		1030		$t4		
8		h		439		简单		int		-1		1031		$t3		
9		leap		439		简单		int		-1		1032		$t2		
10		x2		439		简单		int		-1		1033		$t1		
11		xxr		441		简单		int		-1		1034		$t0		
12		$t215		458		简单		int		-1		1035		$t0		
13		$t216		464		简单		int		-1		1036		$t0		
14		$t217		466		简单		int		-1		1037		$t0		
15		$t218		477		简单		int		-1		1038		$t0		
16		$t219		494		简单		int		-1		1039		$t0		
17		$t220		496		简单		int		-1		1040		$t0		
18		$t221		505		简单		int		-1		1041		$t0		
19		$t222		523		简单		int		-1		1042		$t0		
20		$t223		529		简单		int		-1		1043		$t0		
21		$t224		539		简单		int		-1		1044		$t0		
22		$t225		549		简单		int		-1		1045		$t0		
23		$t226		552		简单		int		-1		1046		$t0		
24		$t227		563		简单		int		-1		1047		$t0		
该函数表打印完毕
0		choose		575		简单		char		-1		0		$t1		
1		$t228		580		简单		int		-1		1		$t0		
2		$t229		581		简单		int		-1		2		$t0		
3		$t230		582		简单		int		-1		3		$t0		
4		$t231		583		简单		int		-1		4		$t0		
5		$t232		584		简单		int		-1		5		$t0		
6		$t233		585		简单		int		-1		6		$t0		
7		$t234		586		简单		int		-1		7		$t0		
8		$t235		587		简单		int		-1		8		$t0		
该函数表打印完毕
接下来打印全局函数表
0		_char__		1		常量		char		95		0		无		
1		_char_lower_a		1		常量		char		97		1		无		
2		_char_lower_b		1		常量		char		98		2		无		
3		_char_lower_c		1		常量		char		99		3		无		
4		_char_lower_d		1		常量		char		100		4		无		
5		_char_upper_A		2		常量		char		65		5		无		
6		_char_upper_B		2		常量		char		66		6		无		
7		_char_upper_C		2		常量		char		67		7		无		
8		_char_D		2		常量		char		68		8		无		
9		_char_0		3		常量		char		48		9		无		
10		_char_1		3		常量		char		49		10		无		
11		_char_2		3		常量		char		50		11		无		
12		_char_3		3		常量		char		51		12		无		
13		_char_4		3		常量		char		52		13		无		
14		_char_5		3		常量		char		53		14		无		
15		_char_6		3		常量		char		54		15		无		
16		_char_7		3		常量		char		55		16		无		
17		_char_8		3		常量		char		56		17		无		
18		_char_9		3		常量		char		57		18		无		
19		_char_plus		4		常量		char		43		19		无		
20		_char_minus		4		常量		char		45		20		无		
21		_char_mul		4		常量		char		42		21		无		
22		_char_div		4		常量		char		47		22		无		
23		_int_0		6		常量		int		0		23		无		
24		_int_1		7		常量		int		1		24		无		
25		_int_256		7		常量		int		256		25		无		
26		_int_34545		7		常量		int		34545		26		无		
27		_int_minus400		8		常量		int		-400		27		无		
28		_int_minus888		8		常量		int		-888		28		无		
29		_int_minus1563		8		常量		int		-1563		29		无		
30		_int_plus567		9		常量		int		567		30		无		
31		_int_plus5		9		常量		int		5		31		无		
32		_int_plus1000		9		常量		int		1000		32		无		
33		_int_temp		10		常量		int		77		33		无		
34		_int_i		11		常量		int		56		34		无		
35		MAX_NUM		12		常量		int		1024		35		无		
36		_array_char_a		14		数组		char		1000		36		无		
37		_array_char_c		14		数组		char		1000		1036		无		
38		_simple_char_t		14		简单		char		-1		2036		无		
39		_simple_int_e		15		简单		int		-1		2037		无		
40		_array_int_fibarray		15		数组		int		1000		2038		无		
41		_array_int_fibarray_temp		15		数组		int		1000		3038		无		
42		_simple_int_num		15		简单		int		-1		4038		无		
43		_array_int_a		15		数组		int		1000		4039		无		
44		_array_int_quicksort_		18		数组		int		100		5039		无		
45		_simple_int_count		18		简单		int		-1		5139		无		
46		_simple_int_length		19		简单		int		-1		5140		无		
47		fibo		21		函数		int		1		5141		无		
48		main4		27		函数		void		0		5141		无		
49		fib		35		函数		int		1		5141		无		
50		main1		71		函数		void		0		5141		无		
